,index,athlete,sport,log_prob_one_shot,num_athlete_tokens,sport_index,sport_token,prompt,zero_shot_prompt,clp
126,14942,Stephen Drew,baseball,-0.19886494,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Stephen Drew plays the sport of",Fact: Stephen Drew plays the sport of,-0.171875
128,7736,Tobias Harris,basketball,-0.23063608,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Tobias Harris plays the sport of",Fact: Tobias Harris plays the sport of,-0.25390625
130,14749,Jimmy Rollins,baseball,-0.4029758,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Jimmy Rollins plays the sport of",Fact: Jimmy Rollins plays the sport of,-0.345703125
131,6360,Raymond Felton,basketball,-0.11293703,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Raymond Felton plays the sport of",Fact: Raymond Felton plays the sport of,-0.3125
133,14433,Jim Thome,baseball,-0.049440224,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Jim Thome plays the sport of",Fact: Jim Thome plays the sport of,-0.1845703125
134,512,Tyrod Taylor,football,-0.17960222,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Tyrod Taylor plays the sport of",Fact: Tyrod Taylor plays the sport of,-0.2890625
136,14417,Phil Hughes,baseball,-0.089629166,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Phil Hughes plays the sport of",Fact: Phil Hughes plays the sport of,-0.8515625
138,15208,Justin Masterson,baseball,-0.109822385,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Justin Masterson plays the sport of",Fact: Justin Masterson plays the sport of,-1.1875
141,14259,Matt Garza,baseball,-0.10198602,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Matt Garza plays the sport of",Fact: Matt Garza plays the sport of,-0.5234375
142,6283,Marcus Camby,basketball,-0.0894577,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Marcus Camby plays the sport of",Fact: Marcus Camby plays the sport of,-0.2421875
151,14454,Pablo Sandoval,baseball,-0.060536213,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Pablo Sandoval plays the sport of",Fact: Pablo Sandoval plays the sport of,-0.52734375
155,13624,Juwan Morgan,basketball,-0.4776256,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Juwan Morgan plays the sport of",Fact: Juwan Morgan plays the sport of,-0.330078125
156,11503,Aaron Gordon,basketball,-0.14922586,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Aaron Gordon plays the sport of",Fact: Aaron Gordon plays the sport of,-0.2109375
161,14562,Alex Avila,baseball,-0.69453156,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Alex Avila plays the sport of",Fact: Alex Avila plays the sport of,-0.345703125
162,444,Rex Ryan,football,-0.07217765,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Rex Ryan plays the sport of",Fact: Rex Ryan plays the sport of,-1.234375
164,6569,Zach Randolph,basketball,-0.060766537,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Zach Randolph plays the sport of",Fact: Zach Randolph plays the sport of,-0.248046875
171,15064,Ben Revere,baseball,-0.29652953,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Ben Revere plays the sport of",Fact: Ben Revere plays the sport of,-0.330078125
175,6557,James Harden,basketball,-0.0738348,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: James Harden plays the sport of",Fact: James Harden plays the sport of,-0.2041015625
178,468,Roger Goodell,football,-0.11373477,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Roger Goodell plays the sport of",Fact: Roger Goodell plays the sport of,-0.65625
182,15117,Ned Yost,baseball,-0.59701455,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Ned Yost plays the sport of",Fact: Ned Yost plays the sport of,-0.486328125
184,14662,Cole Hamels,baseball,-0.08328682,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Cole Hamels plays the sport of",Fact: Cole Hamels plays the sport of,-0.435546875
186,638,Jon Kitna,football,-0.39053807,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jon Kitna plays the sport of",Fact: Jon Kitna plays the sport of,-1.0546875
190,5300,Tony Parker,basketball,-0.12508214,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Tony Parker plays the sport of",Fact: Tony Parker plays the sport of,-0.58203125
198,14135,David Price,baseball,-0.089208595,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: David Price plays the sport of",Fact: David Price plays the sport of,-1.0625
199,14572,Adam Eaton,baseball,-0.21437576,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Adam Eaton plays the sport of",Fact: Adam Eaton plays the sport of,-0.8828125
201,14871,Ryan Howard,baseball,-0.044199802,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Ryan Howard plays the sport of",Fact: Ryan Howard plays the sport of,-0.50390625
202,15703,Chris Archer,baseball,-0.24041891,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Archer plays the sport of",Fact: Chris Archer plays the sport of,-0.5546875
203,183,Vince Young,football,-0.118530534,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Vince Young plays the sport of",Fact: Vince Young plays the sport of,-0.40625
206,1274,Kyle Long,football,-0.24180588,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Kyle Long plays the sport of",Fact: Kyle Long plays the sport of,-0.546875
217,299,Hines Ward,football,-0.0473114,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Hines Ward plays the sport of",Fact: Hines Ward plays the sport of,-0.5546875
220,14380,Alex Cora,baseball,-0.5051039,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Alex Cora plays the sport of",Fact: Alex Cora plays the sport of,-0.50390625
225,6288,Joe Dumars,basketball,-0.11109059,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Joe Dumars plays the sport of",Fact: Joe Dumars plays the sport of,-0.466796875
228,6510,Smush Parker,basketball,-0.6864828,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Smush Parker plays the sport of",Fact: Smush Parker plays the sport of,-0.82421875
232,14425,Joe Nathan,baseball,-0.053928666,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Joe Nathan plays the sport of",Fact: Joe Nathan plays the sport of,-0.5234375
233,6821,Mike Miller,basketball,-0.678642,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Miller plays the sport of",Fact: Mike Miller plays the sport of,-0.63671875
236,649,Matthew Stafford,football,-0.07410437,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Matthew Stafford plays the sport of",Fact: Matthew Stafford plays the sport of,-0.37890625
237,14640,Ben Zobrist,baseball,-0.07732957,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Ben Zobrist plays the sport of",Fact: Ben Zobrist plays the sport of,-0.5
238,735,Reggie White,football,-0.10763046,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Reggie White plays the sport of",Fact: Reggie White plays the sport of,-0.76171875
239,875,Vincent Jackson,football,-0.15907876,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Vincent Jackson plays the sport of",Fact: Vincent Jackson plays the sport of,-0.64453125
240,811,Julio Jones,football,-0.16191943,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Julio Jones plays the sport of",Fact: Julio Jones plays the sport of,-0.248046875
241,1177,Allen Robinson,football,-0.2508071,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Allen Robinson plays the sport of",Fact: Allen Robinson plays the sport of,-0.57421875
242,1498,Melvin Gordon,football,-0.30519193,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Melvin Gordon plays the sport of",Fact: Melvin Gordon plays the sport of,-0.1982421875
243,14437,Andre Ethier,baseball,-0.08969466,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Andre Ethier plays the sport of",Fact: Andre Ethier plays the sport of,-1.0546875
244,1019,Troy Smith,football,-0.3857803,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Troy Smith plays the sport of",Fact: Troy Smith plays the sport of,-0.625
245,14182,Rafael Soriano,baseball,-0.23727453,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Rafael Soriano plays the sport of",Fact: Rafael Soriano plays the sport of,-0.69140625
246,106,Victor Cruz,football,-0.121144064,2,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Victor Cruz plays the sport of",Fact: Victor Cruz plays the sport of,-0.890625
250,6068,Rick Pitino,basketball,-0.1700653,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Rick Pitino plays the sport of",Fact: Rick Pitino plays the sport of,-0.74609375
254,749,Justin Tucker,football,-0.16676731,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Justin Tucker plays the sport of",Fact: Justin Tucker plays the sport of,-1.2734375
256,11076,Brad Stevens,basketball,-0.1006565,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Brad Stevens plays the sport of",Fact: Brad Stevens plays the sport of,-1.125
258,15111,Matt Adams,baseball,-0.461219,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Matt Adams plays the sport of",Fact: Matt Adams plays the sport of,-0.58984375
260,415,Dez Bryant,football,-0.092864506,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Dez Bryant plays the sport of",Fact: Dez Bryant plays the sport of,-0.330078125
263,13250,Luke Kennard,basketball,-0.6112693,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Luke Kennard plays the sport of",Fact: Luke Kennard plays the sport of,-0.357421875
267,200,Miles Austin,football,-0.39100504,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Miles Austin plays the sport of",Fact: Miles Austin plays the sport of,-1.796875
268,14406,Nelson Cruz,baseball,-0.07068226,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Nelson Cruz plays the sport of",Fact: Nelson Cruz plays the sport of,-0.265625
270,16791,Rafael Devers,baseball,-0.022430057,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Rafael Devers plays the sport of",Fact: Rafael Devers plays the sport of,-0.265625
272,17009,Trevor Story,baseball,-0.051772825,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Trevor Story plays the sport of",Fact: Trevor Story plays the sport of,-0.2421875
273,14649,Michael Morse,baseball,-0.29186177,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Michael Morse plays the sport of",Fact: Michael Morse plays the sport of,-0.91796875
276,563,Mario Manningham,football,-0.09337433,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mario Manningham plays the sport of",Fact: Mario Manningham plays the sport of,-0.3359375
279,7121,David Blatt,basketball,-0.25344458,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: David Blatt plays the sport of",Fact: David Blatt plays the sport of,-0.609375
280,11358,Steven Adams,basketball,-0.33250424,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Steven Adams plays the sport of",Fact: Steven Adams plays the sport of,-0.76953125
281,13184,Jarrett Allen,basketball,-0.42419976,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Jarrett Allen plays the sport of",Fact: Jarrett Allen plays the sport of,-0.27734375
282,14863,James Loney,baseball,-0.22812457,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: James Loney plays the sport of",Fact: James Loney plays the sport of,-0.55078125
284,5798,Anthony Davis,basketball,-0.040634945,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Anthony Davis plays the sport of",Fact: Anthony Davis plays the sport of,-0.357421875
285,5816,Chris Webber,basketball,-0.3258406,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Webber plays the sport of",Fact: Chris Webber plays the sport of,-0.384765625
291,5918,Deron Williams,basketball,-0.06894043,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Deron Williams plays the sport of",Fact: Deron Williams plays the sport of,-0.451171875
293,14163,Adam Dunn,baseball,-0.03655107,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Adam Dunn plays the sport of",Fact: Adam Dunn plays the sport of,-0.306640625
294,14595,Alex Cobb,baseball,-0.3455988,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Alex Cobb plays the sport of",Fact: Alex Cobb plays the sport of,-0.330078125
295,1339,Jaylon Smith,football,-0.31456915,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Jaylon Smith plays the sport of",Fact: Jaylon Smith plays the sport of,-0.283203125
297,12986,Kevin Knox,basketball,-0.062740326,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Kevin Knox plays the sport of",Fact: Kevin Knox plays the sport of,-0.470703125
298,767,Mike Webster,football,-0.596571,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Webster plays the sport of",Fact: Mike Webster plays the sport of,-0.3125
301,14480,Russell Martin,baseball,-0.21185572,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Russell Martin plays the sport of",Fact: Russell Martin plays the sport of,-0.50390625
303,5596,Stephen Jackson,basketball,-0.4479912,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Stephen Jackson plays the sport of",Fact: Stephen Jackson plays the sport of,-0.5
306,1450,Zack Martin,football,-0.2696458,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Zack Martin plays the sport of",Fact: Zack Martin plays the sport of,-1.25
307,14081,Barry Bonds,baseball,-0.07438029,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Barry Bonds plays the sport of",Fact: Barry Bonds plays the sport of,-0.2109375
312,186,Joseph Addai,football,-0.22191858,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Joseph Addai plays the sport of",Fact: Joseph Addai plays the sport of,-0.5078125
313,15510,Robin Yount,baseball,-0.07054329,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Robin Yount plays the sport of",Fact: Robin Yount plays the sport of,-0.39453125
314,1810,Chris Godwin,football,-0.5504888,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Chris Godwin plays the sport of",Fact: Chris Godwin plays the sport of,-0.69921875
315,7362,Greg Monroe,basketball,-0.65534407,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Greg Monroe plays the sport of",Fact: Greg Monroe plays the sport of,-0.283203125
318,6409,Nick Collison,basketball,-0.20355307,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Nick Collison plays the sport of",Fact: Nick Collison plays the sport of,-0.30078125
319,14759,Craig Biggio,baseball,-0.06071067,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Craig Biggio plays the sport of",Fact: Craig Biggio plays the sport of,-0.2421875
320,16716,Marcus Semien,baseball,-0.18298984,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Marcus Semien plays the sport of",Fact: Marcus Semien plays the sport of,-0.2353515625
326,6311,Robert Horry,basketball,-0.38792142,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Robert Horry plays the sport of",Fact: Robert Horry plays the sport of,-0.39453125
329,503,Asante Samuel,football,-0.38179544,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Asante Samuel plays the sport of",Fact: Asante Samuel plays the sport of,-1.953125
331,14990,Joe Mauer,baseball,-0.024363633,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Joe Mauer plays the sport of",Fact: Joe Mauer plays the sport of,-0.2109375
333,16113,Carlos Rodon,baseball,-0.4674688,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Carlos Rodon plays the sport of",Fact: Carlos Rodon plays the sport of,-0.55859375
337,15073,Matt Harvey,baseball,-0.033451647,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Matt Harvey plays the sport of",Fact: Matt Harvey plays the sport of,-0.32421875
341,15022,Miguel Cabrera,baseball,-0.0075272038,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Miguel Cabrera plays the sport of",Fact: Miguel Cabrera plays the sport of,-0.2421875
342,6437,Ty Lawson,basketball,-0.09798201,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Ty Lawson plays the sport of",Fact: Ty Lawson plays the sport of,-0.1845703125
345,15040,Mike Matheny,baseball,-0.09895903,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Mike Matheny plays the sport of",Fact: Mike Matheny plays the sport of,-0.62890625
347,5836,Baron Davis,basketball,-0.10006206,2,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Baron Davis plays the sport of",Fact: Baron Davis plays the sport of,-0.64453125
355,1116,Delanie Walker,football,-0.3249226,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Delanie Walker plays the sport of",Fact: Delanie Walker plays the sport of,-0.490234375
364,1550,James Conner,football,-0.13213304,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: James Conner plays the sport of",Fact: James Conner plays the sport of,-0.341796875
371,1946,Matt Breida,football,-0.34527218,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Matt Breida plays the sport of",Fact: Matt Breida plays the sport of,-0.283203125
373,14137,Randy Johnson,baseball,-0.21083893,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Randy Johnson plays the sport of",Fact: Randy Johnson plays the sport of,-0.97265625
376,16998,Max Muncy,baseball,-0.5200709,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Max Muncy plays the sport of",Fact: Max Muncy plays the sport of,-0.431640625
379,789,Trent Williams,football,-0.6836354,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Trent Williams plays the sport of",Fact: Trent Williams plays the sport of,-0.40625
383,14440,Carlos Lee,baseball,-0.23146842,2,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Carlos Lee plays the sport of",Fact: Carlos Lee plays the sport of,-0.73046875
384,14460,Kirk Gibson,baseball,-0.26315832,3,0,14623,"Fact: Tiger Woods plays the sport of golf
Fact: Kirk Gibson plays the sport of",Fact: Kirk Gibson plays the sport of,-1.25
386,7395,Maya Moore,basketball,-0.6229118,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Maya Moore plays the sport of",Fact: Maya Moore plays the sport of,-0.400390625
387,570,Barry Sanders,football,-0.14127856,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Barry Sanders plays the sport of",Fact: Barry Sanders plays the sport of,-0.87890625
388,310,Ray Rice,football,-0.12018034,3,2,5842,"Fact: Tiger Woods plays the sport of golf
Fact: Ray Rice plays the sport of",Fact: Ray Rice plays the sport of,-0.400390625
390,5493,Candace Parker,basketball,-0.08093422,3,1,14648,"Fact: Tiger Woods plays the sport of golf
Fact: Candace Parker plays the sport of",Fact: Candace Parker plays the sport of,-0.50390625
